Company,Date,Hours (4.9),Context,Money (857.5),Status,invoice,Billed Date,20037.5,0,,ap@iscmga.com,
ISCMGA,3/3/25,0.5,system setup,87.5,Paid,002-1010,3/26/25,5040,,,to,ap@iscmga.com
ISCMGA,3/5/25,0.3,investigate setup,52.5,Paid,002-1010,3/26/25,,,,CC,tertia.vanrensburg@iscmga.com
ISCMGA,3/5/25,0.2,,35,Paid,002-1010,3/26/25,,,,Addressable:,Accounts Payable Team
ISCMGA,3/7/25,1.7,A&H,297.5,Paid,002-1010,3/26/25,,,,Billed to:,Account Payable - ap@iscmga.com
ISCMGA,3/10/25,1,sutton,175,Paid,002-1010,3/26/25,,,,Customer:,"Integrated Specialty Coverages, LLC"
ISCMGA,3/11/25,0.9,sutton,157.5,Paid,002-1010,3/26/25,,,,Address:,"1811 Aston Ave, Ste 200
Carlsbad, CA 92008, USA"
ISCMGA,3/12/25,2.8,,490,Paid,002-1010,3/26/25,,,,Notes:,
ISCMGA,3/14/25,5,,875,Paid,002-1010,3/26/25,,,,Terms,15
ISCMGA,3/14/25,4.4,,770,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/17/25,1.8,,315,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/18/25,4.2,,735,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/18/25,1,Excess_Custom_Tags,175,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/19/25,1.8,,315,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/20/25,2.2,,385,Paid,002-1010,3/26/25,,,,,
ISCMGA,3/21/25,1,Sutton,175,Paid,002-1010,3/26/25,,,,,
ISCMGA,03/24/25,0.2,State Migration/wholsale buisness ticket,35,Paid,002-1011,4/17/25,5932.5,,,,
ISCMGA,03/25/25,0.2,,35,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/26/25,1.3,,227.5,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/28/25,2.2,,385,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/28/25,4.8,,840,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/29/25,1.8,,315,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/29/25,0.7,,122.5,Paid,002-1011,4/17/25,,,,,
ISCMGA,03/31/25,2.8,,490,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/01/25,2.1,,367.5,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/02/25,4.3,,752.5,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/03/25,3.4,,595,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/04/25,0.4,,70,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/07/25,3.4,,595,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/08/25,0.4,admin research,70,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/09/25,1.2,,210,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/11/25,4.7,,822.5,Paid,002-1011,4/17/25,,,,,
ISCMGA,04/15/25,1.1,,192.5,Paid,002-1012,5/9/25,3132.5,,,,
ISCMGA,04/16/25,1.8,,315,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/17/25,2.5,"4214735, get homeowner over to mary",437.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/18/25,4.3,"4214735, get homeowner over to mary",752.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/21/25,0.5,"4214735, get homeowner over to mary",87.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/23/25,0.1,"4214735, get homeowner over to mary",17.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/25/25,2.4,"4214735, get homeowner over to mary",420,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/25/25,0.5,"4214735, get homeowner over to mary",87.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/28/25,2.7,,472.5,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/29/25,0.6,get instructions from mary for requirments.,105,Paid,002-1012,5/9/25,,,,,
ISCMGA,04/30/25,1.4,,245,Paid,002-1012,5/9/25,,,,,
ISCMGA,05/01/25,1.8,,315,Paid,002-1013,5/21/25,3430,,,,
ISCMGA,05/02/25,2,,350,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/05/25,0.7,,122.5,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/06/25,0.8,,140,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/07/25,0.8,,140,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/08/25,2.4,,420,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/09/25,4.6,,805,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/12/25,1.5,,262.5,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/13/25,1.4,,245,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/14/25,2.3,,402.5,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/15/25,0.9,,157.5,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/16/25,0.4,,70,Paid,002-1013,5/21/25,,,,,
ISCMGA,05/19/25,0.2,,35,Paid,002-1014,6/10/25,2502.5,,,,
ISCMGA,05/21/25,0.5,,87.5,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/22/25,2.4,,420,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/23/25,0.5,,87.5,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/27/25,0.7,,122.5,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/28/25,1.9,,332.5,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/29/25,0.2,,35,Paid,002-1014,6/10/25,,,,,
ISCMGA,05/30/25,2,,350,Paid,002-1014,6/10/25,,,,,
ISCMGA,06/01/25,2,,350,Paid,002-1014,6/10/25,,,,,
ISCMGA,06/04/25,0.9,,157.5,Paid,002-1014,6/10/25,,,,,
ISCMGA,06/05/25,0.6,,105,Paid,002-1014,6/10/25,,,,,
ISCMGA,06/09/25,2.4,,420,Paid,002-1014,6/10/25,,,,,
ISCMGA,06/10/25,1.2,,210,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/11/25,3.5,,612.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/12/25,1.1,,192.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/16/25,8,,1400,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/17/25,3.9,,682.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/18/25,4.2,,735,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/20/25,0.5,,87.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/23/25,0.4,,70,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/25/25,2.3,,402.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,06/27/25,2.3,,402.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,07/01/25,3.2,,560,Billed,002-1015,7/3/2025,,,,,
ISCMGA,07/02/25,0.9,,157.5,Billed,002-1015,7/3/2025,,,,,
ISCMGA,07/07/25,1.4,,245,Not Billed,002-1015,,,,,,
ISCMGA,07/09/25,3.5,,612.5,Not Billed,002-1015,,,,,,
