Company,Date,Hours (5.4),Context,Money (945),Status,invoice,Billed Date,23975,0,,,
Origin,8/26/24,1,meeting on raters,175,Paid,001-1017,9/15/24,1715,,,to,"jfoley@beyondrisk.com, ipasiut@origin-specialty.com, eramos@beyondrisk.com"
Origin,9/5/24,1,"expectations meeting, login setup troubleshooting",175,Paid,001-1017,9/16/24,,,,CC,cacosta@origin-specialty.com
Origin,9/6/24,2,BTM meeting with Dan,350,Paid,001-1017,9/17/24,,,,Addressable:,Team
Origin,9/9/24,2,BTM script troubleshoot,350,Paid,001-1017,9/18/24,,,,Billed to:,Charlie Acosta - cacosta@origin-specialty.com
Origin,9/19/24,1.5,,262.5,Paid,001-1017,9/19/24,,,,Customer:,"Origin Specialty Underwriters Agency, LLC"
Origin,9/20/24,2.3,"BTM, general catchup, questions an answers, program codes",402.5,Paid,001-1017,9/20/24,,,,Address:,"1701 Gold Rd,
Suite 1001, Tower 3
Rolling Meadows, IL 60008, USA"
Origin,10/2/24,1,billing question email,175,Paid,001-1018,11/19/25,2187.5,,,Notes:,
Origin,10/9/24,0.25,billing question email,43.75,Paid,001-1018,11/19/25,,,,Terms,15
Origin,10/10/24,1,"billing question email, btm, othger questions",175,Paid,001-1018,11/19/25,,,,,
Origin,10/29/24,2,[IMS_Fees_Incd_Taxes] proc and tags,350,Paid,001-1018,11/19/25,,,,,
Origin,10/31/24,2,fac,350,Paid,001-1018,11/19/25,,,,,
Origin,11/12/2024,2,AI tag IMS_AI_Locations,350,Paid,001-1018,11/19/25,,,,,
Origin,11/13/2024,0.75,AI tag IMS_AI_Locations,131.25,Paid,001-1018,11/19/25,,,,,
Origin,11/14/2024,2,AI tag IMS_AI_Locations,350,Paid,001-1018,11/19/25,,,,,
Origin,11/15/2024,0.5,AI tag IMS_AI_Locations,87.5,Paid,001-1018,11/19/25,,,,,
Origin,11/18/2024,1,AI tag IMS_AI_Locations,175,Paid,001-1018,11/19/25,,,,,
Origin,11/19/2024,0.9,AI tag IMS_AI_Locations,157.5,Paid,001-1019,1/11/25,2450,,,,
Origin,11/20/2024,1.3,AI tag IMS_AI_Locations,227.5,Paid,001-1019,1/11/25,,,,,
Origin,11/25/2024,1.2,RE: Excel Rater and IMS Questions,210,Paid,001-1019,1/11/25,,,,,
Origin,11/26/2024,0.3,RE: Excel Rater and IMS Questions,52.5,Paid,001-1019,1/11/25,,,,,
Origin,12/05/24,0.5,Origin_Optional_Coverages_STOPGAP_Tag,87.5,Paid,001-1019,1/11/25,,,,,
Origin,12/06/24,1,Origin_Optional_Coverages_STOPGAP_Tag,175,Paid,001-1019,1/11/25,,,,,
Origin,12/10/24,0.8,minimum premium 100% + call,140,Paid,001-1019,1/11/25,,,,,
Origin,1/2/25,1,aakriti call+ report,175,Paid,001-1019,1/11/25,,,,,
Origin,1/3/25,1.5,generic rater report,262.5,Paid,001-1019,1/11/25,,,,,
Origin,1/7/25,0.5,HNOA SIR issue,87.5,Paid,001-1019,1/11/25,,,,,
Origin,1/8/25,1,HNOA SIR issue,175,Paid,001-1019,1/11/25,,,,,
Origin,1/9/25,2,167591 double prem issue,350,Paid,001-1019,1/11/25,,,,,
Origin,1/10/25,1.2,167591 double prem issue,210,Paid,001-1019,1/11/25,,,,,
Origin,1/10/25,0.8,OSU-TSI 1057 (02/24) not added issue,140,Paid,001-1019,1/11/25,,,,,
Origin,1/13/25,0.5,LLoyds coverholder talk,87.5,Paid,001-1020,1/27/25,1890,,,,
Origin,1/13/25,2,LLoyds coverholder ,350,Paid,001-1020,1/27/25,,,,,
Origin,1/14/25,0.8,LLoyds coverholder ,140,Paid,001-1020,1/27/25,,,,,
Origin,1/14/25,0.5,LLoyds coverholder ,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/15/25,1,LLoyds coverholder ,175,Paid,001-1020,1/27/25,,,,,
Origin,1/15/25,2.2,LLoyds coverholder ,385,Paid,001-1020,1/27/25,,,,,
Origin,1/16/25,0.9,LLoyds coverholder / requirment info,157.5,Paid,001-1020,1/27/25,,,,,
Origin,1/20/25,0.5,LLoyds coverholder / requirment info,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/21/25,0.4,stop gap limit tag addition,70,Paid,001-1020,1/27/25,,,,,
Origin,1/22/25,0.5,armed ass error,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/22/25,0.5,armed ass error,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/23/25,0.5,armed ass error,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/24/25,0.5,armed ass error,87.5,Paid,001-1020,1/27/25,,,,,
Origin,1/28/25,0.1,general,17.5,Paid,001-1021,3/14/25,3815,,,,
Origin,1/30/25,1.3,armed assailant mapping demo,227.5,Paid,001-1021,3/14/25,,,,,
Origin,1/31/25,0.2,armed ass error,35,Paid,001-1021,3/14/25,,,,,
Origin,1/31/25,0.1,armed ass error,17.5,Paid,001-1021,3/14/25,,,,,
Origin,1/31/25,1,prorating issue,175,Paid,001-1021,3/14/25,,,,,
Origin,2/12/25,1,document reporting,175,Paid,001-1021,3/14/25,,,,,
Origin,2/19/25,0.2,general Qs,35,Paid,001-1021,3/14/25,,,,,
Origin,2/21/25,0.2,general Qs,35,Paid,001-1021,3/14/25,,,,,
Origin,2/28/25,1.5,rater integration talk and research,262.5,Paid,001-1021,3/14/25,,,,,
Origin,3/4/25,0.5,comply advantage convo,87.5,Paid,001-1021,3/14/25,,,,,
Origin,3/4/25,0.5,iwona catchup,87.5,Paid,001-1021,3/14/25,,,,,
Origin,3/4/25,0.1,email,17.5,Paid,001-1021,3/14/25,,,,,
Origin,3/5/25,0.2,,35,Paid,001-1021,3/14/25,,,,,
Origin,03/06/25,1.8,general - property review,315,Paid,001-1021,3/14/25,,,,,
Origin,03/06/25,0.8,Property Rater,140,Paid,001-1021,3/14/25,,,,,
Origin,03/07/25,0.5,Property Rater meeting,87.5,Paid,001-1021,3/14/25,,,,,
Origin,03/07/25,1.5,Property Rater,262.5,Paid,001-1021,3/14/25,,,,,
Origin,03/10/25,3.4,Property,595,Paid,001-1021,3/14/25,,,,,
Origin,03/11/25,4,Property,700,Paid,001-1021,3/14/25,,,,,
Origin,03/12/25,2.8,,490,Paid,001-1021,3/14/25,,,,,
Origin,03/13/25,0.1,,17.5,Paid,001-1021,3/14/25,,,,,
Origin,03/16/25,1.2,,210,Paid,001-1022,4/1/2025,5792.5,,,,
Origin,03/17/25,2.4,,420,Paid,001-1022,4/1/2025,,,,,
